description,id,activation_level,category,Age Range,age_min,age_max
"More than one suspected long bone fracture (thigh, leg, arm, femur, humerus, tibia). This does not include hands or feet.",91,Level 2,Pediatric,0 - 15,0,15
Full or partial thickness (2nd or 3rd degree) burns between 10% and 20% of total body surface area (TBSA),92,Level 2,Pediatric,0 - 15,0,15
Full or partial thickness burns to the face without suspected inhalation or airway injury.,93,Level 2,Pediatric,0 - 15,0,15
Significant neurological deficit (extremity numbness),94,Level 2,Pediatric,0 - 15,0,15
Ejection from an automobile,95,Level 3,Pediatric,0 - 17,0,17
Seatbelt sign (bruising or wounds over the abdomen or chest caused by a seatbelt),96,Level 3,Pediatric,0 - 17,0,17
Potential handlebar injury (injury to the abdomen caused by the handlebar during a bicycle accident),97,Level 3,Pediatric,0 - 17,0,17
Death of another passenger in the SAME vehicle as the patient,98,Level 3,Pediatric,0 - 17,0,17
Glasgow coma score (GCS) < 12,99,Level 1,Geriatric,> 64,65,
Injury with associated tachycardia (Heart Rate (HR) > 90) AND poor perfusion,100,Level 1,Geriatric,> 64,65,
Systolic blood pressure (SBP) < 110,101,Level 1,Geriatric,> 64,65,
Respiratory distress,102,Level 1,Geriatric,> 64,65,
"Intubated - Endotracheal (ET) tube, Laryngeal mask airway (LMA, iGel)",103,Level 1,Geriatric,> 64,65,
Flail chest,104,Level 1,Geriatric,> 64,65,
"Pleural decompression (needle decompression, chest tube)",105,Level 1,Geriatric,> 64,65,
Penetrating injury to the head,106,Level 1,Geriatric,> 64,65,
Penetrating injury or significant wound to the neck,107,Level 1,Geriatric,> 64,65,
"Penetrating injury to the torso (chest, back or abdomen)",108,Level 1,Geriatric,> 64,65,
"Penetrating injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",109,Level 1,Geriatric,> 64,65,
Penetrating injury to the leg proximal to the knee (groin or thigh),110,Level 1,Geriatric,> 64,65,
Suspected or identified pelvic fracture,111,Level 1,Geriatric,> 64,65,
Paralysis related to trauma,112,Level 1,Geriatric,> 64,65,
Pulseless extremity (arm or leg),113,Level 1,Geriatric,> 64,65,
"Crush or degloving injury to the arm proximal to the elbow (shoulder, axilla, bicep or tricep)",114,Level 1,Geriatric,> 64,65,
"Mangled arm proximal to the elbow (shoulder, axilla, bicep or tricep)",115,Level 1,Geriatric,> 64,65,
Crush or degloving injury to the leg proximal to the knee (groin or thigh),116,Level 1,Geriatric,> 64,65,
Mangled leg proximal to the knee (groin or thigh),117,Level 1,Geriatric,> 64,65,
Full or partial thickness (2nd or 3rd degree) burns > 20% of total body surface area (TBSA),118,Level 1,Geriatric,> 64,65,
Airway burns or concern for inhalational injury / burn,119,Level 1,Geriatric,> 64,65,
Electrocution / electric shock with high voltage or greater than household current ( > 120 volts),120,Level 1,Geriatric,> 64,65,
"Blood product administration related to trauma - whole blood, packed red blood cells (RBC), fresh frozen plasma (FFP), platelets",121,Level 1,Geriatric,> 64,65,
Falls > 5 feet (non-ground level),122,Level 1,Geriatric,> 64,65,
Glasgow coma score (GCS) = 12 or 13,123,Level 2,Geriatric,> 64,65,
"High speed (≥ 55 mph) automobile crash AND suspected significant injuries (e.g., non-ambulatory)",124,Level 2,Geriatric,> 64,65,
"Motorcycle crash AND suspected significant injuries (e.g., non-ambulatory)",125,Level 2,Geriatric,> 64,65,
Pedestrian hit by an automobile (automobile vs pedestrian) > 10 mph AND significant impact or suspected significant injuries,126,Level 2,Geriatric,> 64,65,
Bicyclist hit by an automobile (automobile vs bicycle) > 10 mph AND significant impact or suspected significant injuries,127,Level 2,Geriatric,> 64,65,
Active bleeding requiring a tourniquet or wound packing,128,Level 2,Geriatric,> 64,65,
Poorly controlled bleeding despite pressure or bandaging,129,Level 2,Geriatric,> 64,65,
More than one open fracture (excluding the hands or feet),130,Level 2,Geriatric,> 64,65,
"More than one suspected long bone fracture (thigh, leg, arm, femur, humerus, tibia). This does not include hands or feet.",131,Level 2,Geriatric,> 64,65,
Full or partial thickness (2nd or 3rd degree) burns between 10% and 20% of total body surface area (TBSA),132,Level 2,Geriatric,> 64,65,
Full or partial thickness (2nd or 3rd degree) burns to the face without suspected inhalation or airway injury.,133,Level 2,Geriatric,> 64,65,
Ejection from an automobile,134,Level 3,Geriatric,> 64,65,
Bicycle crash with speed > 25 mph,135,Level 3,Geriatric,> 64,65,
Moped crash with speed > 25 mph,136,Level 3,Geriatric,> 64,65,
Death of another passenger in the SAME vehicle as the patient,137,Level 3,Geriatric,> 64,65,
Systolic blood pressure (SBP) < 70 mmHg for age 0 - 12 months ( ≤ 1 year),48,Level 1,Pediatric,0 - 15,0,1
Systolic blood pressure (SBP) < 74 mmHg for a 2 year old,49,Level 1,Pediatric,0 - 15,2,2
Systolic blood pressure (SBP) < 76 mmHg for a 3 year old,50,Level 1,Pediatric,0 - 15,3,3
Systolic blood pressure (SBP) < 78 mmHg for a 4 year old,51,Level 1,Pediatric,0 - 15,4,4
Systolic blood pressure (SBP) < 80 mmHg for a 5 year old,52,Level 1,Pediatric,0 - 15,5,5
Systolic blood pressure (SBP) < 82 mmHg for a 6 year old,53,Level 1,Pediatric,0 - 15,6,6
Systolic blood pressure (SBP) < 84 mmHg for a 7 year old,54,Level 1,Pediatric,0 - 15,7,7
Systolic blood pressure (SBP) < 86 mmHg for an 8 year old,55,Level 1,Pediatric,0 - 15,8,8
Systolic blood pressure (SBP) < 88 mmHg for a 9 year old,56,Level 1,Pediatric,0 - 15,9,9
